prime_text,prime_audio,prime_lex,target_text,target_audio,target_lex,similarity
a phase,prime_audio/a phase.wav,NonFrenchPrime,je lègue,target_audio/je legue.wav,Word,NoMatch
the flow,prime_audio/the flow.wav,FrenchPrime,une chive,target_audio/une chive.wav,Nonword,NoMatch
some flesh,prime_audio/some flesh.wav,FrenchPrime,il nire,target_audio/il nire.wav,Nonword,NoMatch
some fruit,prime_audio/some fruit.wav,NonFrenchPrime,la digue,target_audio/la digue.wav,Word,NoMatch
the suit,prime_audio/the suit.wav,FrenchPrime,plus namme,target_audio/plus namme.wav,Nonword,NoMatch
a plum,prime_audio/a plum.wav,NonFrenchPrime,un phoque,target_audio/un phoque.wav,Word,NoMatch
the case,prime_audio/the case.wav,FrenchPrime,il noure,target_audio/il noure.wav,Nonword,NoMatch
they sort,prime_audio/they sort.wav,FrenchPrime,la pelle,target_audio/la pelle.wav,Word,NoMatch
the peak,prime_audio/the peak.wav,FrenchPrime,elle pique,target_audio/elle pique.wav,Word,Match
a trade,prime_audio/a trade.wav,NonFrenchPrime,je colle,target_audio/je colle.wav,Word,NoMatch
they die,prime_audio/they die.wav,NonFrenchPrime,tu daille,target_audio/tu daille.wav,Nonword,Match
the tree,prime_audio/the tree.wav,FrenchPrime,la gege,target_audio/la gege.wav,Nonword,NoMatch
it's less,prime_audio/it's less.wav,FrenchPrime,je laisse,target_audio/je laisse.wav,Word,Match
the rain,prime_audio/the rain.wav,FrenchPrime,la puge,target_audio/la puge.wav,Nonword,NoMatch
the goose,prime_audio/the goose.wav,FrenchPrime,le baume,target_audio/le baume.wav,Word,NoMatch
a seed,prime_audio/a seed.wav,NonFrenchPrime,une gousse,target_audio/une gousse.wav,Word,NoMatch
some cash,prime_audio/some cash.wav,FrenchPrime,des fègues,target_audio/des fegue.wav,Nonword,NoMatch
the fan,prime_audio/the fan.wav,FrenchPrime,moins chinde,target_audio/moins chinde.wav,Nonword,NoMatch
the pace,prime_audio/the pace.wav,FrenchPrime,elles paissent,target_audio/elles paissent.wav,Word,Match
they shone,prime_audio/they shone.wav,NonFrenchPrime,un chône,target_audio/un chone.wav,Nonword,Match
a vein,prime_audio/a vein.wav,FrenchPrime,le ouingue,target_audio/le ouingue.wav,Nonword,NoMatch
a pale,prime_audio/a pale.wav,FrenchPrime,la juse,target_audio/la juse.wav,Nonword,NoMatch
it's red,prime_audio/it's red.wav,FrenchPrime,un six,target_audio/un six.wav,Word,NoMatch
a cat,prime_audio/a cat.wav,NonFrenchPrime,la catte,target_audio/la catte.wav,Nonword,Match
some feet,prime_audio/some feet.wav,FrenchPrime,une nêlle,target_audio/une nelle.wav,Nonword,NoMatch
the soul,prime_audio/the soul.wav,FrenchPrime,le sol,target_audio/le sol.wav,Word,Match
the sea,prime_audio/the sea.wav,FrenchPrime,la jeuche,target_audio/la jeuche.wav,Nonword,NoMatch
a tie,prime_audio/a tie.wav,FrenchPrime,un bage,target_audio/un bage.wav,Nonword,NoMatch
a back,prime_audio/a back.wav,FrenchPrime,un bac,target_audio/un bac.wav,Word,Match
the farce,prime_audio/the farce.wav,FrenchPrime,une bèrre,target_audio/une berre.wav,Nonword,NoMatch
the web,prime_audio/the web.wav,FrenchPrime,qu'il ronne,target_audio/qu'il ronne.wav,Nonword,NoMatch
it's sad,prime_audio/it's sad.wav,NonFrenchPrime,il fiche,target_audio/il fiche.wav,Word,NoMatch
a knob,prime_audio/a knob.wav,NonFrenchPrime,il roume,target_audio/il roume.wav,Nonword,NoMatch
a lack,prime_audio/a lack.wav,FrenchPrime,pas dosse,target_audio/pas dosse.wav,Nonword,NoMatch
the game,prime_audio/the game.wav,NonFrenchPrime,une liffe,target_audio/une liffe.wav,Nonword,NoMatch
